Community_District_ID,Community_District_Name,AirScore,Air_QualityScore,NO2,O3,PM2.5,SafetyScore,Safety_QualityScore,Incident_Count,Weighted_Severity_Sum,WaterScore,Water_QualityScore,Water_Point_Count,EducationScore,Education_QualityScore,Education_Point_Count,Overall_QualityScore,Overall_Rank
503,Tottenville and Great Kills (CD3),-0.9063350110525888,100.0,12.087994777955554,32.77532763266667,7.877839922533334,0.5802575806070681,75.5958144319119,70614,223599.0,-0.25530825198064,38.5035689217073,12,4.669746370758997,78.78869529546364,21,73.22201966227071,1
411,Bayside and Little Neck (CD11),-0.4476618308951091,80.69663478201451,17.196811141955553,31.956915954,8.216296364088889,0.8770550781160285,82.57905899299395,44546,159741.6,-0.08833384776165333,31.773472639234825,3,4.768897060112554,88.29188785778295,23,70.83526356800657,2
502,South Beach and Willowbrook (CD2),-0.7994481433964761,95.5016418386093,14.035604522422222,31.782741265333335,8.091566597822222,0.3319386716096579,69.75320563222806,87224,277026.0,0.09912661729221418,24.21766200543867,5,4.707680209134663,82.42450028141177,21,67.97425243942195,3
208,Riverdale and Fieldston (CD8),-0.4773014476304399,81.94402480069137,17.510310424444445,29.796022621333336,8.919035126244445,0.61612199428157,76.43965568337427,62028,215882.6,-0.18357864409519836,35.612424200269054,4,4.565232377260513,68.77145172258825,21,65.69188910173074,4
310,Bay Ridge and Dyker Heights (CD10),-0.2521280821960964,72.4675524487442,19.247917324444444,31.257649002666664,8.530959316355556,0.515519999311818,74.07262651330753,70088,237527.6,0.31809875155551365,15.39173713591354,2,4.891052575989658,100.0,13,65.48297902449131,5
410,South Ozone Park and Howard Beach (CD10),-0.2452422024921366,72.17775863362073,18.044171010133333,33.18188380066667,8.076916700288889,0.2217556670566002,67.16074823711278,83556,300732.4,-0.0215445762817484,29.081453884633145,6,4.7693340109246725,88.33376782588904,16,64.18843214531393,6
307,Sunset Park (CD7),0.0721992775271525,58.81816167169174,20.65658836288889,30.565253728,9.352296973355555,0.3766701902046169,70.80567789550165,74250,267401.8,-0.04606986453515585,30.069973963940335,4,4.670227130356608,78.83477415847577,19,59.63214692240237,7
408,Hillcrest and Fresh Meadows (CD8),-0.3836856825034913,78.00418401081525,18.248766572444445,31.530346998,8.305229330755555,0.425259396756374,71.9489163500968,72640,256947.6,0.13202323391356682,22.89172586411893,8,4.494661213710048,62.00749111939415,30,58.71307933610628,8
312,Borough Park (CD12),-0.1284708745143343,67.2634107090903,19.965879177555557,31.524637227333336,8.58866026491111,0.5284074657776128,74.37585120643577,65772,234754.8,0.18793232086694892,20.638245517706633,6,4.604853956862326,72.56901987903986,19,58.711631828068136,9
311,Bensonhurst (CD11),-0.1555757029665212,68.40412358574851,18.6987464974,32.89929922266666,8.275711332733334,0.3226755726965271,69.53525741619929,79918,279019.0,0.17450367349208998,21.1795026654647,3,4.618389456516568,73.86634277694523,18,58.24630661108942,10
409,Kew Gardens and Woodhaven (CD9),-0.152846674194428,68.28927178852761,19.536181485777774,31.901436206666663,8.476504021266667,0.118048930454148,64.72066868656071,90060,323045.4,0.18032639233583364,20.94481125496105,4,4.661437405131905,77.99231454548844,17,57.986766568884455,11
406,Rego Park and Forest Hills (CD6),-0.1664778686194196,68.86294370946409,19.998320350444445,31.102449606666667,8.64469228471111,0.7986482675666299,80.73425255791156,50376,176611.2,0.5896082119127771,4.448234637111104,4,4.656233472729237,77.49353867185332,13,57.884742394085016,12
407,Flushing and Whitestone (CD7),-0.1327638877001715,67.44408314645275,18.767482360888888,32.253468256666665,8.578607300044444,-0.2513995212599952,56.02804522212237,111672,402534.0,-0.06132732849711865,30.684943677236596,8,4.594774560308456,71.60295048519184,27,56.440005632750896,13
108,Upper East Side (CD8),0.4073338361532068,44.713947468223466,25.884666392222226,27.564480760666665,10.192031814533332,0.1786192791926931,66.1458072471664,83720,310013.4,-0.2493314477918975,38.26266692334492,8,4.6462594991195285,76.53757364082297,17,56.41499881988944,14
110,Central Harlem (CD10),0.0410479122648689,60.12917397132145,23.10120842955556,28.94040250733333,9.318423156355555,-1.0156697862470196,38.04579733943515,162294,566970.4,-1.7810412444839145,100.0,4,4.088356583565699,23.06483560789065,25,55.30995172966181,15
112,Washington Heights and Inwood (CD12),-0.1455084697574291,67.98044178402857,20.806614218666667,29.014755677333333,9.3364623762,-0.6257876726855666,47.21919729004959,132974,483085.4,-0.33456166736018744,41.69796939712154,7,4.5184481040224425,64.28736835041761,38,55.29624420540432,16
315,Sheepshead Bay (CD15),-0.2325095728194556,71.64190301487116,16.69334606471111,34.082730456,8.082160603999998,0.2053832675426041,66.77552777259547,84844,304255.0,0.25635724543163013,17.880299875707117,5,4.492017127104964,61.75406611223194,19,54.512949193851426,17
414,Rockaway and Broad Channel (CD14),-0.3927928799850663,78.38746249036097,12.51906237611111,37.12836973266667,7.447054389977779,0.1045804868864258,64.40377438630571,92290,325943.2,-0.09589774154924502,32.07834411758503,5,4.279124095578459,41.34913008039079,22,54.054677768660625,18
210,Throgs Neck and Co-op City (CD10),-0.0904357232677245,65.66269270900462,17.836820958666667,32.706705476,8.740825265866667,0.268058147735171,68.25018311805707,86050,290770.2,-0.01404193440027555,28.77905123512885,6,4.3769539662869485,50.72572751759481,22,53.354413644946334,19
314,Flatbush and Midwood (CD14),-0.179606691802057,69.41547322228583,19.202857653022225,31.748303128,8.545323482488888,-0.1922170106225342,57.42052982522369,106028,389800.6,0.0464768201715667,26.339772909394267,3,4.470491308367627,59.69090344683643,22,53.216669850935055,20
501,St. George and Stapleton (CD1),-0.6888120764050928,90.8454977695732,17.378557232422224,30.057450076,8.2674301248,-0.957718017502282,39.409324246799166,167144,554501.8,0.1790800381903176,20.99504699882022,12,4.477481413356502,60.36087673873388,26,52.90268643848162,21
306,Park Slope and Carroll Gardens (CD6),0.1457988071707449,55.72070870944437,22.04806961311111,29.664286307333334,9.573778997488889,0.3877840497736478,71.06717201199338,75092,265010.6,-0.10887614337081819,32.60145359810907,4,4.380319731326661,51.04832248390765,24,52.60941420086361,22
404,Elmhurst and Corona (CD4),0.0873755556390218,58.1794645520072,21.684607284222224,31.237890644,8.875704014422222,0.1008343465331978,64.31563275955249,89374,326749.2,0.3555041516145931,13.884069268736443,3,4.611666388485921,73.22196389747032,18,52.40028261944161,23
403,Jackson Heights (CD3),-0.0688530287743081,64.75438009728491,20.730517977777776,31.510884536666666,8.571274009244444,-0.3308976391976543,54.15756179701311,114678,419638.4,0.39410132172659024,12.328365732618229,4,4.635062368458827,75.46437395347976,13,51.676170395099,24
413,Queens Village (CD13),-0.4011604404527449,78.73961317777575,16.972684956866665,33.01749808666667,7.976064403466666,-0.1120012697685746,59.3078979490559,101024,372541.8,0.07788261375158147,25.0739261132365,12,4.293462610321332,42.72341872676908,34,51.46121399170931,25
109,Morningside Heights and Hamilton Heights (CD9),0.0006732426167965,61.82835113599601,22.823127958222223,28.652647002666665,9.390075971888889,-0.1711307952943397,57.91666001412453,111024,385263.8,-0.3069213128998097,40.583892975228494,3,4.253980149074156,38.939184501949114,18,49.817022156824535,26
211,Morris Park and Bronxdale (CD11),-0.143062266517609,67.87749276372732,18.822656311555555,31.620108594666664,8.789107771777777,0.1060640700139077,64.43868109506457,94168,325624.0,0.3028180483244958,16.007643534799463,4,4.373568750288638,50.401268255569164,19,49.68127141229013,27
304,Bushwick (CD4),0.086984663557984,58.19591533423628,20.895186572,31.36628107933333,9.015787783711112,-0.0756367510047335,60.163505998332965,95604,364717.8,-0.2103467436396212,36.6913433799806,1,4.290417946964408,42.431600058064596,28,49.37059119265361,28
107,Upper West Side (CD7),0.0747443731411336,58.71105074330805,24.062274467111113,27.727032044666664,9.659765888066666,-0.2499094311889719,56.06310503048103,117064,402213.4,-0.15108747944592518,34.302830269138795,6,4.343391709073278,47.50892090528495,32,49.146476737053206,29
103,Lower East Side and Chinatown (CD3),0.2076663612745147,53.1169986089355,24.46321766888889,27.820741811333335,9.889055953288889,-0.7650418418557089,43.942734625683514,145424,513046.6,-0.607231629728267,52.68824727030142,6,4.32559572999694,45.803248286162855,43,48.887807197770826,30
402,Woodside and Sunnyside (CD2),0.488586220938996,41.29442235490885,21.983543252666667,31.041821646,9.980412787022225,0.3968928411685066,71.28148958036931,74700,263050.8,0.1610356700319463,21.722346105711765,3,4.486158799419333,61.192569097408445,16,48.87270678459959,31
313,Coney Island (CD13),-0.2335568784536567,71.68597911093786,15.457451600088888,35.01843214466667,8.007773415977779,0.1848027346839272,66.29129560973774,86302,308683.0,0.4901838839855879,8.455647048012915,4,4.323258926384003,45.57927511100041,25,48.00304921992223,32
401,Long Island City and Astoria (CD1),0.0823248338468949,58.392025328581035,20.68555325133333,31.59771981866667,8.961933660333333,-0.4007599033135856,52.51379700786516,122306,434669.6,0.05390052994085511,26.040551709868875,6,4.415470733723634,54.417403896401126,25,47.840944485679046,33
405,Ridgewood and Maspeth (CD5),0.017983101329259,61.099861790960254,19.87845135,31.781440442666668,8.909047720511111,-0.126812932395953,58.95939951712387,107830,375728.6,0.28581616331652,16.69292415384055,5,4.408614458488931,53.76025764517033,21,47.62811077677375,34
101,Financial District (CD1),0.5257400438113957,39.730795260113304,27.61544928977778,26.465690391333332,10.532418812066666,0.4519862025717615,72.57776202066975,71822,251197.2,-0.2419493102781854,37.965121341612665,4,4.257458096136023,39.272531661368454,13,47.38655257094104,35
308,Crown Heights and Prospect Heights (CD8),-0.0264203419874876,62.968590812755224,21.577482519333333,30.420446179333332,8.915404548866666,-0.1739408653409425,57.8505428583739,107620,385868.4,-0.0679279751891652,30.95099036847555,3,4.230322230260478,36.67166866745603,20,47.110448176765175,36
309,South Crown Heights and Lefferts Gardens (CD9),-0.0703168010358888,64.81598328618632,20.889849157333337,31.044097058,8.714298408555555,0.0004712493477584,61.954224531936255,97300,348342.8,0.17909668101732534,20.994376190448726,3,4.2647661840176525,39.97298232746343,25,46.93439158400869,37
