"BN","School_Year","Start_Date","Overall_Rating","Indicator_1.1","Indicator_1.2","Indicator_1.3","Indicator_1.4","Indicator_1.5","Indicator_1.6","Indicator_1.7","IndicatorOverall_1","Indicator_2.1","Indicator_2.2","Indicator_2.3","Indicator_2.4","Indicator_2.5","Indicator_2.6","Indicator_2.7","IndicatorOverall_2","Indicator_3.1","Indicator_3.2","Indicator_3.3","Indicator_3.4","Indicator_3.5","Indicator_3.6","Indicator_3.7","Indicator_3.8","IndicatorOverall_3","Indicator_4.1","Indicator_4.2","Indicator_4.3","Indicator_4.4","Indicator_4.5","Indicator_4.6","Indicator_4.7","IndicatorOverall_4","Indicator_5.1","Indicator_5.2","Indicator_5.3","Indicator_5.4","Indicator_5.5","Indicator_5.6","Indicator_5.7","IndicatorOverall_5"
"M307","2005-06","38810","P","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M459","2005-06","38810","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M560","2005-06","38810","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K469","2006-07","38987","P","P","P","U","P","No Data","No Data","No Data","P","P","U","P","P","U","No Data","No Data","P","P","U","P","P","U","P","P","WD","P","P","U","P","P","P","P","P","P","U","P","U","U","No Data","No Data","No Data","U"
"M294","2005-06","38812","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M299","2005-06","38812","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M407","2005-06","38812","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M519","2005-06","38812","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M304","2005-06","38814","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M449","2005-06","38814","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M570","2005-06","38814","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M696","2005-06","38814","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K544","2005-06","38817","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K337","2005-06","38831","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K252","2006-07","38996","U","U","U","U","P","No Data","No Data","No Data","U","P","U","P","U","U","No Data","No Data","U","P","U","U","U","P","U","P","U","U","P","P","U","P","P","U","P","P","P","P","P","U","No Data","No Data","No Data","P"
"K685","2005-06","38831","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M479","2005-06","38831","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K268","2006-07","38996","P","P","P","U","P","No Data","No Data","No Data","P","U","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","WD","P","P","WD","P","P","P","P","U","P","P","No Data","No Data","No Data","P"
"Q263","2005-06","38831","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q560","2005-06","38831","U","P","P","P","P","No Data","No Data","No Data","P","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","U","U","U","U","U","U","U","U","U","U","U","U","No Data","No Data","No Data","U"
"K524","2005-06","38833","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K533","2005-06","38833","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"X231","2005-06","38833","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X269","2005-06","38833","U","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"Q530","2005-06","38835","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X337","2006-07","39009","P","P","U","U","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","WD","P","WD","WD","U","P","U","P","U","U","No Data","No Data","No Data","U"
"X265","2005-06","38835","P","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"X530","2005-06","38835","U","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","U","U","U","U","U","U","U","U","U","U","U","U","No Data","No Data","No Data","U"
"X682","2005-06","38835","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K330","2005-06","38838","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"X062","2006-07","39010","P","P","P","P","P","No Data","No Data","No Data","P","P","P","U","WD","P","No Data","No Data","P","P","P","P","P","P","P","P","WD","P","P","P","P","P","P","WD","P","P","P","P","P","P","No Data","No Data","No Data","P"
"R021","2006-07","39086","P","WD","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","WD","P","P","P","WD","P","P","P","P","P","P","WD","WD","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K546","2005-06","38839","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M050","2005-06","38839","U","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","U","U","U","U","U","U","U","U","U","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M497","2005-06","38839","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q580","2005-06","38839","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"X239","2005-06","38839","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X286","2005-06","38839","U","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","U","U","U","U","U","U","U","U","U","U","U","U","No Data","No Data","No Data","U"
"K350","2005-06","38845","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"K697","2005-06","38845","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M199","2005-06","38845","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M313","2005-06","38845","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"Q135","2005-06","38845","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q196","2005-06","38845","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X331","2005-06","38845","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K101","2005-06","38847","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q093","2005-06","38847","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q109","2005-06","38847","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"X248","2005-06","38847","P","WD","WD","WD","WD","No Data","No Data","No Data","WD","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"X278","2005-06","38847","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X477","2005-06","38847","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X548","2005-06","38847","P","WD","WD","WD","WD","No Data","No Data","No Data","WD","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K670","2005-06","38848","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K336","2005-06","38852","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K485","2005-06","38852","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M114","2005-06","38852","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M187","2005-06","38852","WD","P","P","P","P","No Data","No Data","No Data","P","U","U","U","U","U","No Data","No Data","U","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q049","2005-06","38852","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X020","2005-06","38852","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"X271","2005-06","38852","P","U","U","U","U","No Data","No Data","No Data","U","U","U","U","P","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","P","U","No Data","No Data","No Data","U"
"R035","2005-06","38853","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M045","2005-06","38854","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q252","2005-06","38854","P","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q480","2005-06","38854","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q495","2005-06","38854","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"Q499","2005-06","38854","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"R006","2005-06","38854","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"R036","2006-07","39086","P","WD","P","P","P","No Data","No Data","No Data","P","P","P","P","WD","U","No Data","No Data","P","P","U","P","P","P","P","P","P","P","P","P","P","WD","WD","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X071","2005-06","38854","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K400","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"X224","2006-07","39105","U","U","U","U","U","No Data","No Data","No Data","U","U","U","P","U","U","No Data","No Data","U","U","U","P","U","P","U","P","U","U","U","U","P","U","WD","P","U","U","U","U","U","U","No Data","No Data","No Data","U"
"K425","2005-06","38859","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K429","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M075","2005-06","38859","P","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"M305","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M420","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q505","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"Q566","2005-06","38859","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"X418","2005-06","38859","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M495","2005-06","38860","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K590","2005-06","38861","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M030","2005-06","38861","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M28U","2005-06","38861","U","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","No Data","No Data","No Data","U"
"M298","2005-06","38861","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X298","2006-07","39105","P","P","P","P","P","No Data","No Data","No Data","P","U","P","P","P","P","No Data","No Data","P","U","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","U","U","U","U","No Data","No Data","No Data","U"
"M610","2005-06","38861","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K272","2006-07","39112","P","U","U","P","U","No Data","No Data","No Data","U","P","U","P","P","U","No Data","No Data","P","P","U","P","P","P","P","P","P","P","U","WD","P","U","WD","P","P","P","P","U","U","P","No Data","No Data","No Data","P"
"M018","2006-07","39112","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q450","2005-06","38861","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X245","2005-06","38861","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K531","2005-06","38867","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M692","2005-06","38867","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M862","2005-06","38867","WD","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X012","2006-07","39115","U","U","U","P","U","No Data","No Data","No Data","U","U","U","P","U","U","No Data","No Data","U","P","U","U","U","U","P","P","P","U","U","U","U","U","WD","P","U","U","U","U","U","U","No Data","No Data","No Data","U"
"Q166","2005-06","38867","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"Q188","2005-06","38867","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X103","2005-06","38867","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"X403","2005-06","38867","P","U","U","U","U","No Data","No Data","No Data","U","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"K062","2005-06","38869","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"K115","2005-06","38869","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K152","2005-06","38869","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K315","2005-06","38869","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K447","2005-06","38869","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M134","2005-06","38869","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"M316","2005-06","38869","P","U","U","U","U","No Data","No Data","No Data","U","U","U","U","U","U","No Data","No Data","U","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"Q072","2005-06","38869","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
